asnum,asname,,,
6868,Moscow State Technical University named NE Bouwman (state enterprise no commercial organisati,,,
6874,State Educational Institution of Higher Professional Education Perm State Technical Universit,,,
6931,Ringling College of Art and Design,,,
7050,University of Wisconsin - Milwaukee,,,
7125,Universidad de Monterrey,,,
7162,Universo Online S.A.,,,
7184,Universidad Verecruzana,,,
7202,Florida A & M University,,,
7212,Vanderbilt University,,,
7276,University of Houston,,,
7377,"University of California, San Diego",,,
7386,Illinois State University,,,
7475,The University of Queensland,,,
7476,The University of Queensland,,,
7485,Mahanakorn University of Technology (Thailand),,,
7502,Advanced Software Technology & Management Research Institute of KYOTO,,,
7560,Chonbuk National University,,,
7564,Korea Atomic Energy Research Institute,,,
7573,The University of Tasmania,,,
7582,University of Macau,,,
7621,Kyonggi University,,,
7622,Korea Advanced Institute of Science and Technology,,,
7624,jeonju university,,,
7645,Deakin University,,,
7650,The Hong Kong Institute of Education,,,
7651,Lingnan University,,,
7774,University of Alaska,,,
7860,University of Prince Edward Island,,,
7896,University of Nebraska-Lincoln,,,
7915,Daytona State College Inc,,,
7939,University of Central Florida,,,
7965,Universidad Catolica Andres Bello,,,
7968,Loyola University Chicago,,,
8036,University of Tulsa,,,
8111,Dalhousie University,,,
8122,Duquesne University,,,
8135,Troy University,,,
8214,Institute of Informatics and Applied Mathematics,,,
8253,Democritus University of Thrace,,,
8256,Technical University of Lodz Computer Centre,,,
8278,Technical University of Crete,,,
8324,South Ural State University,,,
8326,University of Technology and Agriculture in Bydgoszcz,,,
8364,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Networ",,,
8409,Institute for Information Transmission Problems of the Russian Academy of Sciences of A.A. Kh,,,
8411,State Educational Institution of Higher Professional Education Omsk State University of F.M.D,,,
8441,OOO NPP Garant Service University,,,
8456,Bogazici University,,,
8466,Ihsan Dogramaci Bilkent University,,,
8475,State Educational Institute of Higher Professional Education Bashkirskiy State University,,,
